start,end,transcript,speaker,confidence,is_conclusion_1st
0.0,0.1,では、来季の予算会議を始めます。各部署からの報告をお願いします。まずは佐藤さん、全体の見通しをお願いします。,0,1,0
0.1,0.2,はい。来季の全体予算案につきまして、ご説明いたします。売上高は前年比5%増の850億円、営業利益は7%増の68億円を見込んでおります。為替レートは1ドル110円で試算しています。,1,1,1
0.2,0.3,なるほど。前年よりも成長を見込んでいるわけですね。各部門の詳細をお聞きしましょう。鈴木さん、研究開発部門からお願いします。,0,1,0
0.3,0.4,はい。研究開発費は総額で95億円を計画しています。これは前年比8%増です。主な増加要因は、新規バイオ素材の開発プロジェクトと、既存製品の環境負荷低減研究です。,2,1,1
0.4,0.5,8%増は大きいですね。具体的にどのような成果を期待していますか？,0,1,0
0.5,0.6,新規バイオ素材については、3年以内の製品化を目指しています。環境負荷低減については、主力製品のCO2排出量を20%削減する技術の確立を目標としています。,2,1,1
0.6,0.7,その環境技術は、営業的にも大きなアピールポイントになりますね。,3,1,0
0.7,0.8,確かに。では高橋さん、営業部門の計画をお願いします。,0,1,0
0.8,0.9,はい。売上目標は佐藤さんの説明通り850億円です。内訳として、国内が500億円、海外が350億円を計画しています。特に注力するのは、アジア市場での拡販です。,3,1,1
0.9,1.0,アジア市場にはどのくらいの伸びを見込んでいますか？,0,1,0
